,method,comp,suff
213,ablation,0.011834263801574707,-0.000141143798828125
214,ablation,0.9915108792483807,-0.0002613067626953125
215,ablation,0.01604318618774414,-0.009501039981842041
216,ablation,0.988904170691967,0.7819142192602158
217,ablation,0.0023749470710754395,1.5139579772949219e-05
218,ablation,0.08388519287109375,0.00013005733489990234
219,ablation,0.17952454090118408,0.0014763474464416504
220,ablation,0.00015485286712646484,0.0002599358558654785
221,ablation,0.001056075096130371,0.2056911587715149
222,ablation,0.012690544128417969,-0.00017279386520385742
223,ablation,0.03895902633666992,0.0012385845184326172
224,ablation,0.9423252418637276,0.000291287899017334
225,ablation,0.9787916634231806,0.0012820959091186523
226,ablation,0.0004929900169372559,3.6716461181640625e-05
227,ablation,0.9970269210170954,-0.001256704330444336
228,ablation,0.18098294734954834,-0.0001824498176574707
229,ablation,-0.005125278607010841,-0.0025764144957065582
230,ablation,0.1988281011581421,0.006315052509307861
231,ablation,0.005099475383758545,0.03242671489715576
232,ablation,0.010423660278320312,0.0358392596244812
233,ablation,0.7931420505046844,-0.0014040470123291016
234,ablation,8.028745651245117e-05,0.0002523064613342285
235,ablation,0.13554084300994873,0.007041037082672119
236,ablation,0.9588668681681156,0.0015372633934020996
237,ablation,0.9833557028323412,0.9755390901118517
238,ablation,0.0026729702949523926,-0.00014090538024902344
239,ablation,0.825801745057106,0.00020927190780639648
240,ablation,0.016000866889953613,-0.00020992755889892578
241,ablation,0.005340576171875,0.0048989057540893555
242,ablation,0.47607362270355225,0.00011873245239257812
243,ablation,0.9978729389840737,0.02876812219619751
244,ablation,0.9949650431517512,-0.003437221050262451
245,ablation,0.018723726272583008,0.004525899887084961
246,ablation,0.9979724443983287,0.9751091785728931
247,ablation,0.0001766681671142578,0.013793528079986572
248,ablation,0.04949826002120972,0.00023514032363891602
249,ablation,0.27699053287506104,0.10599595308303833
250,ablation,0.5044976770877838,-0.00020515918731689453
251,ablation,0.6288871467113495,-0.0006435513496398926
252,ablation,0.9897267017513514,-0.0002658367156982422
253,ablation,0.17959266901016235,0.0016865134239196777
254,ablation,0.31501188850961626,-0.6821394264698029
